优先级,助手分层,是否需审核,桶,子类,API（助手显示名优先）,id,命名空间/类,方法,子方法,调用形态,文档availability(api.sqlite),助手availability,GP实测,UI实测,本次判定,运行时真名,运行时近似名,其它UI状态命中,助手标记未被官方lua使用,助手用法摘要,助手备注首条,助手人工验证,证据,建议动作
P3,L1 助手已收录,是,D 暂不可测,需 Fractal.Create(...) 参数化构造（世界生成期）,Fractal.Create():GetHeight(),Q-FractalCreateGetHeight,Fractal,Create,GetHeight,Colon (Instance),GamePlay,GamePlay,ERR/不可判,ERR/不可判,无法验证：需 Fractal.Create(...) 参数化构造（世界生成期）,,,,,,[作用] 创建分形噪声生成器并查询指定位置或百分位的高度值,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration (Context),O-MapPinConfiguration,MapPinConfiguration,,,Colon (Instance),UI,UI,nil/不可判,nil/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,MapPinConfiguration 命名空间，包含 MapPinConfiguration 相关的子函数,,GP=nil/不可判　UI=nil/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:GetHexX(),Q-MapPinConfigurationGetHexX,MapPinConfiguration,GetHexX,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,[作用] 获取地图钉标的六边形网格 X 坐标,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:GetHexY(),Q-MapPinConfigurationGetHexY,MapPinConfiguration,GetHexY,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,[作用] 获取地图钉的六角格Y坐标,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:GetID(),Q-MapPinConfigurationGetID,MapPinConfiguration,GetID,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,获取 MapPinConfiguration 的唯一标识符，用于编辑、删除或在聊天中引用地图钉,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:GetIconName(),Q-MapPinConfigurationGetIconName,MapPinConfiguration,GetIconName,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,[作用] 获取地图钉的图标标识符，用于设置 UI 控件的图标纹理,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:GetName(),Q-MapPinConfigurationGetName,MapPinConfiguration,GetName,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,[作用] 获取地图钉的自定义名称,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:GetPlayerID(),Q-MapPinConfigurationGetPlayerID,MapPinConfiguration,GetPlayerID,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,[作用] 获取地图钉所属玩家的 PlayerID,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:GetVisibility(),Q-MapPinConfigurationGetVisibility,MapPinConfiguration,GetVisibility,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,[作用] 获取地图钉的可见性设置,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:IsPrivate(),Q-MapPinConfigurationIsPrivate,MapPinConfiguration,IsPrivate,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,[作用] 判断地图钉是否为私有状态,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:IsVisible(),Q-MapPinConfigurationIsVisible,MapPinConfiguration,IsVisible,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,[作用] 判断地图图钉是否对指定玩家可见，用于控制图钉在地图和列表中的显示,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:SetIconName(),A-MapPinConfigurationSetIconName,MapPinConfiguration,SetIconName,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,[作用] 设置地图钉的图标名称,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:SetName(),A-MapPinConfigurationSetName,MapPinConfiguration,SetName,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,[作用] 设置地图钉配置的名称,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需地图钉编辑 UI 上下文（MapPinManager 内）,MapPinConfiguration:SetVisibility(),A-MapPinConfigurationSetVisibility,MapPinConfiguration,SetVisibility,,Colon (Instance),UI,UI,ERR/不可判,ERR/不可判,无法验证：需地图钉编辑 UI 上下文（MapPinManager 内）,,,,,,[作用] 设置地钉的可见性范围,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需存在自由城市实例（CityManager.GetFreeCityAt）,FreeCities (Context),O-FreeCities,FreeCities,,,Colon (Instance),GamePlay,GamePlay,nil/不可判,nil/不可判,无法验证：需存在自由城市实例（CityManager.GetFreeCityAt）,,,,,,FreeCities 命名空间，包含 FreeCities 相关的子函数,,GP=nil/不可判　UI=nil/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需存在自由城市实例（CityManager.GetFreeCityAt）,FreeCities:GetIndex(),Q-FreeCitiesGetIndex,FreeCities,GetIndex,,Colon (Instance),GamePlay,GamePlay,ERR/不可判,ERR/不可判,无法验证：需存在自由城市实例（CityManager.GetFreeCityAt）,,,,是,AI 判断此根对象未使用此函数,获取单元格的平面索引值，常用于序列化和快速比较,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需存在自由城市实例（CityManager.GetFreeCityAt）,FreeCities:GetLocation(),Q-FreeCitiesGetLocation,FreeCities,GetLocation,,Colon (Instance),GamePlay,GamePlay,ERR/不可判,ERR/不可判,无法验证：需存在自由城市实例（CityManager.GetFreeCityAt）,,,,是,AI 判断此根对象未使用此函数,获取Location，返回 table,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需存在自由城市实例（CityManager.GetFreeCityAt）,FreeCities:GetPlot(),Q-FreeCitiesGetPlot,FreeCities,GetPlot,,Colon (Instance),GamePlay,GamePlay,ERR/不可判,ERR/不可判,无法验证：需存在自由城市实例（CityManager.GetFreeCityAt）,,,,是,AI 判断此根对象未使用此函数,"通过 x,y 坐标获取单元格对象，是使用最频繁的 API 之一",,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需存在自由城市实例（CityManager.GetFreeCityAt）,FreeCities:GetUrbanDefenses(),Q-FreeCitiesGetUrbanDefenses,FreeCities,GetUrbanDefenses,,Colon (Instance),GamePlay,GamePlay,ERR/不可判,ERR/不可判,无法验证：需存在自由城市实例（CityManager.GetFreeCityAt）,,,,是,未在 lua 文件中找到此函数的使用,获取UrbanDefenses，返回 number,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需存在自由城市实例（CityManager.GetFreeCityAt）,FreeCities:GetX(),Q-FreeCitiesGetX,FreeCities,GetX,,Colon (Instance),GamePlay,GamePlay,ERR/不可判,ERR/不可判,无法验证：需存在自由城市实例（CityManager.GetFreeCityAt）,,,,是,AI 判断此根对象未使用此函数,获取X，返回 number,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需存在自由城市实例（CityManager.GetFreeCityAt）,FreeCities:GetY(),Q-FreeCitiesGetY,FreeCities,GetY,,Colon (Instance),GamePlay,GamePlay,ERR/不可判,ERR/不可判,无法验证：需存在自由城市实例（CityManager.GetFreeCityAt）,,,,是,AI 判断此根对象未使用此函数,获取Y，返回 number,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():CanAssignToMajorCiv(),Q-PlayerGetGovernorsGetGovernorCanAssignToMajorCiv,Player,GetGovernors,GetGovernorCanAssignToMajorCiv,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,,,判断指定总督是否可以分配给主流文明（而非城邦）,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():GetComponentID(),Q-PlayerGetGovernorsGetGovernorGetComponentID,Player,GetGovernors,GetGovernorGetComponentID,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,是,AI 判断此根对象未使用此函数,获取Governors,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():GetID(),Q-PlayerGetGovernorsGetGovernorGetID,Player,GetGovernors,GetGovernorGetID,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,,,[作用] 获取指定总督的唯一标识符,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():GetIdentityPressure(),Q-PlayerGetGovernorsGetGovernorGetIdentityPressure,Player,GetGovernors,GetGovernorGetIdentityPressure,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,,,[作用] 获取指定总督的身份压力值,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():GetName(),Q-PlayerGetGovernorsGetGovernorGetName,Player,GetGovernors,GetGovernorGetName,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,,,[作用] 获取玩家已任命总督的本地化名称键值,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():GetNeutralizedTurns(),Q-PlayerGetGovernorsGetGovernorGetNeutralizedTurns,Player,GetGovernors,GetGovernorGetNeutralizedTurns,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,,,[作用] 查询指定总督被中和（Neutralized）的剩余回合数,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():GetOwner(),Q-PlayerGetGovernorsGetGovernorGetOwner,Player,GetGovernors,GetGovernorGetOwner,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,,,[作用] 获取指定玩家的某个总督的所有者 ID,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():GetTurnsOnSite(),Q-PlayerGetGovernorsGetGovernorGetTurnsOnSite,Player,GetGovernors,GetGovernorGetTurnsOnSite,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,,,[作用] 获取总督在当前派遣城市已停留的回合数,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():GetType(),Q-PlayerGetGovernorsGetGovernorGetType,Player,GetGovernors,GetGovernorGetType,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,,,[作用] 获取已任命 Governor 的类型 ID,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():HasPromotion(),Q-PlayerGetGovernorsGetGovernorHasPromotion,Player,GetGovernors,GetGovernorHasPromotion,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,,,[作用] 检查指定总督是否拥有某个晋升,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():IsEstablished(),Q-PlayerGetGovernorsGetGovernorIsEstablished,Player,GetGovernors,GetGovernorIsEstablished,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,,,[作用] 判断总督是否已在分配的城市中完成建立过程,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需已任命总督（Governor 三层实例）,Player:GetGovernors():GetGovernor():IsGovernCityState(),Q-PlayerGetGovernorsGetGovernorIsGovernCityState,Player,GetGovernors,GetGovernorIsGovernCityState,Colon (Instance),UI,UI,nil/否,nil/否,文档存疑：UI 未见,,GetGovernor,,,,[作用] 查询指定总督是否为城邦总督类型（如大使/Ambassador）,,GP=nil/否　UI=nil/否,任命任一总督后复跑三层恢复
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification (Context),O-Notification,Notification,,,Colon (Instance),Both,Both,nil/不可判,nil/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,Notification 命名空间，包含 Notification 相关的子函数,,GP=nil/不可判　UI=nil/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:Activate(),A-NotificationActivate,Notification,Activate,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 激活通知，触发 OnNotificationActivated 引擎事件，随后调用对应通知类型的 Lua handler.Activate 函数,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:AutoExpires(),Q-NotificationAutoExpires,Notification,AutoExpires,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,是,未在 lua 文件中找到此函数的使用,查询 AutoExpires，返回 boolean,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:CanUserDismiss(),Q-NotificationCanUserDismiss,Notification,CanUserDismiss,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,判断通知是否可以被用户手动关闭,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetAddedTurn(),Q-NotificationGetAddedTurn,Notification,GetAddedTurn,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,是,未在 lua 文件中找到此函数的使用,获取AddedTurn,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetCount(),Q-NotificationGetCount,Notification,GetCount,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 返回自动通知堆叠中的通知数量,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetEndTurnBlocking(),Q-NotificationGetEndTurnBlocking,Notification,GetEndTurnBlocking,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 获取通知的回合结束阻止类型,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetExpireTurn(),Q-NotificationGetExpireTurn,Notification,GetExpireTurn,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,是,未在 lua 文件中找到此函数的使用,获取ExpireTurn,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetGroup(),Q-NotificationGetGroup,Notification,GetGroup,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 获取通知所属的分组 ID,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetID(),Q-NotificationGetID,Notification,GetID,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 获取通知的唯一标识符，用于查找或关闭通知,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetIconName(),Q-NotificationGetIconName,Notification,GetIconName,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 获取通知的图标名称，用于 UI 显示通知图标,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetLocation(),Q-NotificationGetLocation,Notification,GetLocation,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 获取通知关联的单元格地图坐标,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetMessage(),Q-NotificationGetMessage,Notification,GetMessage,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 获取通知消息的本地化键，配合 Locale.Lookup() 显示为可读文本,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetPlayerID(),Q-NotificationGetPlayerID,Notification,GetPlayerID,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 返回通知所属的玩家 ID，用于通知管理和判断通知归属,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetSeverity(),Q-NotificationGetSeverity,Notification,GetSeverity,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,是,未在 lua 文件中找到此函数的使用,获取Severity,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetSummary(),Q-NotificationGetSummary,Notification,GetSummary,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 获取通知的摘要文本,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetTarget(),Q-NotificationGetTarget,Notification,GetTarget,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 获取通知关联的目标对象信息，包括玩家ID、对象ID和类型,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetType(),Q-NotificationGetType,Notification,GetType,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 返回通知类型的数字哈希值，用于与 NotificationTypes 常量比较或作为查找键,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetTypeName(),Q-NotificationGetTypeName,Notification,GetTypeName,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 获取通知类型的字符串标识符,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:GetValue(),Q-NotificationGetValue,Notification,GetValue,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 从通知对象中读取指定键的值,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:IsAutoNotify(),Q-NotificationIsAutoNotify,Notification,IsAutoNotify,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 判断通知是否为自动生成（自动生成的通知会有内部计数）,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:IsDismissed(),Q-NotificationIsDismissed,Notification,IsDismissed,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 判断通知是否已被关闭（Dismissed）,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:IsExpired(),Q-NotificationIsExpired,Notification,IsExpired,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,是,未在 lua 文件中找到此函数的使用,判断Expired,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:IsIconDisplayable(),Q-NotificationIsIconDisplayable,Notification,IsIconDisplayable,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 判断通知的图标是否可以在当前模式下显示,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:IsLocationValid(),Q-NotificationIsLocationValid,Notification,IsLocationValid,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 判断通知是否关联了有效的地图位置,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:IsNeeded(),Q-NotificationIsNeeded,Notification,IsNeeded,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,是,未在 lua 文件中找到此函数的使用,判断Needed,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:IsTargetValid(),Q-NotificationIsTargetValid,Notification,IsTargetValid,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 判断通知的目标是否仍然有效（如目标单位/城市未被销毁）,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:IsValidForPhase(),Q-NotificationIsValidForPhase,Notification,IsValidForPhase,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 判断通知是否对当前游戏阶段有效,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:IsVisibleInUI(),Q-NotificationIsVisibleInUI,Notification,IsVisibleInUI,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 判断通知是否在 UI 中可见,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
P3,L1 助手已收录,是,D 暂不可测,需玩家当前有未读通知（本局本地玩家通知列表为空）,Notification:TypeName(),Q-NotificationTypeName,Notification,TypeName,,Colon (Instance),Both,Both,ERR/不可判,ERR/不可判,无法验证：需玩家当前有未读通知（本局本地玩家通知列表为空）,,,,,,[作用] 获取通知的类型名称字符串标识符,,GP=ERR/不可判　UI=ERR/不可判,按补测条件复跑一轮
